area,bedrooms,bathrooms,stories,parking,price
3619,1,1,3,2,222999
1914,2,3,1,0,184398
2728,1,1,1,1,164647
3069,5,1,3,1,252163
2718,2,2,3,2,187325
4108,2,3,2,2,284610
1636,2,2,1,0,141698
1396,3,2,3,2,133647
3988,4,3,1,3,283564
3261,3,3,3,2,276887
1787,1,1,3,1,131315
1326,2,1,2,2,127014
3603,3,1,2,2,234880
3745,3,3,3,0,297170
3600,2,3,3,1,253708
2893,4,2,3,1,233902
4452,1,1,1,2,264890
2096,1,1,3,2,144734
3684,4,2,3,3,267563
2084,2,1,3,2,178511
2754,5,2,2,1,219765
3087,4,1,1,0,204366
3570,2,3,2,0,258716
2563,5,2,3,2,245406
4525,1,3,3,0,311440
4075,3,3,2,0,287984
2780,2,2,1,2,212806
4120,2,3,1,2,295270
3494,2,1,2,1,238048
4905,5,1,3,2,343271
1079,1,2,2,1,90746
1986,5,1,1,3,162835
4115,5,1,1,3,300781
1676,3,3,3,3,176680
4804,5,3,3,1,353628
2634,3,2,3,3,203630
2015,2,1,2,0,164305
3268,2,3,1,0,218052
3899,1,1,1,0,226604
1290,5,1,2,3,142540
3208,2,3,3,3,245325
4213,4,2,1,0,272002
3699,4,2,2,3,284556
4538,1,3,3,0,280872
2649,3,1,1,1,177915
3196,4,1,2,1,226054
2894,2,1,2,0,173015
3671,5,1,1,1,247449
2664,4,2,1,3,201042
1674,4,1,2,2,164519
